Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Generator Production (kWh),Grid Import (kWh),Grid Export (kWh),Battery Reserve (kWh),Generator Reserve (kWh),Expected Shortfall (kWh)
1,3.438671588,9.95170971289973e-9,-9.95170971289973e-9,-3.700894247342013e-9,-9.537218484101458e-9,5.445098911011544e-10,3.5556213533391867,-9.978371712884582e-9,-7.988597795062328e-9,1.2901821016194034e-8,-9.821772208895755e-9,0.003672316841105676
2,3.723586058,9.951709712405546e-9,-9.951709712405546e-9,-9.243398895562118e-9,-8.881007608674222e-9,2.002381685576514e-10,3.8562638007490917,-9.977494891860372e-9,-7.907042101788998e-9,-7.637251178591847e-10,-9.778108878399128e-9,0.004166186323969945
3,4.028054567,9.951709712878895e-9,-9.951709712878895e-9,-9.286301839351318e-9,-8.765643308099897e-9,-2.9438743613119813e-10,4.159802201479489,-9.976543971353548e-9,-7.81861107837331e-9,-1.1671254257194578e-9,-9.706110174428618e-9,0.004136980540504294
4,3.941258645,9.951709712067249e-9,-9.951709712067249e-9,-9.315298999278661e-9,-8.585194158715764e-9,-9.879870346659507e-10,4.058149100687043,-9.975509146848497e-9,-7.722370808874824e-9,-5.1666024648536135e-9,-9.564944204738197e-9,0.0036704532136310427
5,4.163056974,9.95170971292719e-9,-9.95170971292719e-9,-9.19335123911998e-9,-9.086531446583507e-9,-1.0894658375755994e-9,4.2893955990801915,-9.975509145199748e-9,-7.72238507056437e-9,1.2991700196404888e-8,-9.564944655157396e-9,0.003967135320174194
6,4.423832493,9.951709712545984e-9,-9.951709712545984e-9,-9.180656002386817e-9,-8.938455492513003e-9,-1.3195563219557224e-9,4.549162001892791,-9.97550914663639e-9,-7.72237264420375e-9,-6.502807877134275e-9,-9.564944232810978e-9,0.003935446337734567
7,4.564562333,9.951709712689646e-9,-9.951709712689646e-9,-9.261152518265364e-9,-8.768898757269527e-9,-1.7871973949017662e-9,4.699260084859184,-9.975509146569494e-9,-7.722373222799703e-9,-5.121240478303633e-9,-9.564944242222632e-9,0.004229616673504821
8,6.318069491,9.951709712524685e-9,-9.951709712524685e-9,-9.400038179405453e-9,-8.169363778997987e-9,-2.9563380752888597e-9,6.437045576611015,-9.975509144000703e-9,-7.722395441741747e-9,4.523991475600628e-9,-9.564945066230178e-9,0.0037359475007443556
9,6.400433786,9.95170971275702e-9,-9.95170971275702e-9,-9.601354468298296e-9,-6.4727034929919075e-9,-5.928556501829928e-9,6.522404094604715,-9.430587509112484e-9,0.0689932630466556,1.3085985869758023e-8,-9.839999868804259e-9,0.007746873765964945
10,6.015378263,7.634506537287934,-9.912398901690267e-9,-4.238598322203873e-9,-9.498996334027633e-9,-9.311783905973546e-10,-9.891843473105265e-9,-9.430587597566954e-9,1.5683146832974617,-9.757520376473206e-9,-9.935466608121447e-9,0.007430505950384623
11,6.374796259,23.068635234105646,-9.912401566225526e-9,-8.583207082811077e-9,-9.311547528025576e-9,-2.3925496764357997e-10,-9.891843477226222e-9,-9.430587711654984e-9,16.62956219884602,-9.631882119350933e-9,-9.93546660812381e-9,0.009399238506540997
12,6.394364502,39.793248831967006,-9.912398013511847e-9,-8.944906627240197e-9,-9.173520681411762e-9,-2.2071616180592666e-11,-9.891843471587822e-9,-9.430587555298125e-9,33.341119978345326,-9.476915295087198e-9,-9.935466608123927e-9,0.008446921977609873
13,7.783431122,55.467134674019995,-9.912405118939205e-9,-9.033238734008737e-9,-9.10939702901206e-9,5.027876407256358e-11,-9.891843468916075e-9,-9.430587481243176e-9,47.62936822289558,-9.387385662656028e-9,-9.935466608123962e-9,0.007945493313574779
14,8.28269102,67.8607288967004,-9.912398013511847e-9,-9.056381885152184e-9,-9.088637001721546e-9,8.092112481346055e-11,-9.89184347894228e-9,-9.43058775913804e-9,59.51955241080323,-9.358097246760909e-9,-9.935466608123978e-9,0.008552370843599577
15,7.803288819,75.24930828360799,-9.912412224366562e-9,-9.06249546899654e-9,-9.082853325154034e-9,1.0026108816307786e-10,-9.891843477210526e-9,-9.430587711216638e-9,67.3836176636732,-9.325164459823388e-9,-9.935466608123986e-9,0.00912505928850059
16,7.248091401,76.69940958484847,-9.912398013511847e-9,-9.063643070445892e-9,-9.081784074314241e-9,1.1749504183800927e-10,-9.891843472797676e-9,-9.430587588834717e-9,69.39380429162868,-9.288139190288789e-9,-9.935466608123988e-9,0.008410297227485633
17,6.730401633,72.05329310608234,-9.912412224366562e-9,-9.061673191875095e-9,-9.083715216716892e-9,1.3843496543771792e-10,-9.89184347943303e-9,-9.430587772794206e-9,65.26576484484143,-9.246531213107915e-9,-9.935466608123985e-9,0.00835366717161291
18,7.823450179,61.93745147594555,-9.912398013511847e-9,-9.051196035312457e-9,-9.093561502110819e-9,1.7868215889616237e-10,-9.891843483055448e-9,-9.430587873216824e-9,54.061725243887906,-9.199106485523406e-9,-9.935466608123972e-9,0.007644364027641409
19,11.72468898,47.723298672712346,-9.912398013511847e-9,-9.00237046828014e-9,-9.13420051666152e-9,3.039207048584736e-10,-9.891843459166146e-9,-9.972885128328435e-9,35.90314822422242,-9.197658054973031e-9,-9.935466608123935e-9,0.006307529877803737
20,14.13993851,31.32867836958439,-9.912398013511847e-9,-8.66179755094156e-9,-9.29151170386453e-9,9.021491501352961e-10,-9.891843463904262e-9,-9.972885128626247e-9,17.090024757042166,-9.204993145914691e-9,-9.935466608123816e-9,0.006522510834812697
21,17.32856554,15.028717272998492,-9.95160220895741e-9,-9.253387068399616e-9,-8.777339199168414e-9,4.499036743656561e-10,2.4217276773563317,-9.97288512973317e-9,0.02450327411288514,-9.767569598890132e-9,-9.839999845404798e-9,0.006434040541123108
22,20.02117299,1.0718034323453651,-9.978229575935416e-9,-9.961536795037384e-9,-9.169014994304553e-9,-3.02992036330535e-10,19.073291135206745,-9.975509131960328e-9,-7.722499571828465e-9,1.7129126554340446e-8,-9.564948851262998e-9,0.003891256832256123
23,17.3047197,9.951709712823896e-9,-9.951709712823896e-9,-9.204699635318905e-9,-8.908988321263336e-9,-5.839177846833252e-10,17.443037877362432,-9.975509137200413e-9,-7.722454252743177e-9,-3.502100479211953e-9,-9.56494718786331e-9,0.0043433158187567425
24,10.31980314,9.951709712615944e-9,-9.951709712615944e-9,-9.504403296395504e-9,-4.855897665724985e-9,-4.999998133820319e-9,10.4588005729691,-9.975509141889436e-9,-7.722413698311401e-9,3.428337482587904e-9,-9.56494572504669e-9,0.0043646377778617535
