Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Generator Production (kWh)
1,3.438671588,0.0,0.0,0.0,3.3923103682516276,64.55984802208557,0.04636121974837257
2,3.723586058,0.0,0.0,0.0,3.677224838251627,61.066484425746495,0.04636121974837249
3,4.028054567,0.0,0.0,0.0,3.981693347251591,57.283875745857486,0.046361219748355685
4,3.941258645,0.0,0.0,0.0,3.8948974252515893,53.58372319186848,0.04636121974836189
5,4.163056974,0.0,0.0,0.0,4.116695754251629,49.672862225329425,0.04636121974837027
6,4.423832493,0.0,0.0,0.0,4.377471273251628,45.51426451574038,0.04636121974837172
7,4.564562333,0.0,0.0,0.0,4.518201113251626,41.22197345815134,0.046361219748373005
8,6.318069491,0.0,0.0,0.0,6.271708271251624,35.2638506004623,0.04636121974837517
9,6.400433786,0.0,0.0,0.0,6.354072566251606,29.22748166252327,0.04636121974836801
10,6.015378263,3.743264923511191,8.881784197001252e-15,0.0,2.225752119740432,27.113017148769856,0.046361219748376425
11,6.374796259,6.374796259,4.935956146326996,0.0,0.0,27.113017148769856,0.0
12,6.394364502,6.394364502,13.116611351387112,0.0,0.0,27.113017148769856,0.0
13,7.783431122,7.783431122,19.41258722592079,0.0,0.0,27.113017148769856,0.0
14,8.28269102,26.833702753368794,6.43900258979367,18.551011733368796,0.0,44.736478295470214,0.0
15,7.803288819,34.91630596776989,1.9790840838823982,27.11301714876988,0.0,70.4938445868016,0.0
16,7.248091401,34.361108549769874,3.2452787768218627,27.113017148769874,0.0,96.251210878133,0.0
17,6.730401633,33.84341878176987,1.4849372427134284,27.113017148769867,0.0,122.00857716946436,0.0
18,7.823450179,7.823450179,22.545020748770654,0.0,0.0,122.00857716946436,0.0
19,11.72468898,11.72468898000002,11.674459252848267,1.988159326205269e-14,0.0,122.00857716946437,0.0
20,14.13993851,14.13993851,1.220784856103169,0.0,0.0,122.00857716946437,0.0
21,17.32856554,7.368710731257909,-8.881784197001252e-16,0.0,9.959854808742083,112.5467151011594,0.0
22,20.02117299,0.5255145360685615,-2.220446049250313e-16,0.0,19.495658453931412,94.02583956992456,0.0
23,17.3047197,0.0,0.0,0.0,17.30471969999997,77.58635585492459,0.0
24,10.31980314,0.0,0.0,0.0,10.319803139999953,67.78254287192463,0.0
